id,business_unit,agency,role,cost_centre,request_date,requested_positions
"REQ-0001","Operations","Bridge Recruitment","Operations Specialist","CC-300 · Corporate","2026-02-02","6"
"REQ-0002","Finance","Atlas People","Account Manager","CC-300 · Corporate","2026-04-23","1"
"REQ-0003","Customer Success","Bridge Recruitment","Data Analyst","CC-300 · Corporate","2026-01-17","6"
"REQ-0004","Operations","In-house","Data Analyst","CC-100 · Product","2026-01-29","6"
"REQ-0005","Finance","Bridge Recruitment","Software Engineer","CC-100 · Product","2026-07-19","6"
"REQ-0006","Finance","Northstar Talent","Account Manager","CC-100 · Product","2026-04-19","5"
"REQ-0007","Operations","Bridge Recruitment","Operations Specialist","CC-300 · Corporate","2026-06-13","2"
"REQ-0008","Engineering","Atlas People","Software Engineer","CC-300 · Corporate","2026-01-25","6"
"REQ-0009","Engineering","In-house","Data Analyst","CC-300 · Corporate","2026-05-20","5"
"REQ-0010","Finance","Bridge Recruitment","Account Manager","CC-100 · Product","2026-05-24","4"
"REQ-0011","Customer Success","Bridge Recruitment","Data Analyst","CC-100 · Product","2026-09-01","4"
"REQ-0012","Engineering","Northstar Talent","Data Analyst","CC-300 · Corporate","2026-06-04","2"
"REQ-0013","Finance","Atlas People","Data Analyst","CC-100 · Product","2026-04-03","2"
"REQ-0014","Engineering","Northstar Talent","Operations Specialist","CC-300 · Corporate","2026-05-14","2"
"REQ-0015","Customer Success","Bridge Recruitment","Software Engineer","CC-300 · Corporate","2026-05-28","6"
"REQ-0016","Customer Success","In-house","Software Engineer","CC-300 · Corporate","2026-03-18","6"
"REQ-0017","Engineering","Bridge Recruitment","Operations Specialist","CC-100 · Product","2026-02-14","6"
"REQ-0018","Finance","In-house","Operations Specialist","CC-300 · Corporate","2026-09-15","6"
"REQ-0019","Engineering","Bridge Recruitment","Operations Specialist","CC-300 · Corporate","2026-01-16","4"
"REQ-0020","Customer Success","Northstar Talent","Operations Specialist","CC-300 · Corporate","2026-09-10","6"
"REQ-0021","Operations","Bridge Recruitment","Software Engineer","CC-100 · Product","2026-09-04","4"
"REQ-0022","Engineering","Northstar Talent","Data Analyst","CC-200 · Delivery","2026-05-21","3"
"REQ-0023","Engineering","In-house","Account Manager","CC-100 · Product","2026-01-08","5"
"REQ-0024","Operations","Bridge Recruitment","Data Analyst","CC-300 · Corporate","2026-02-05","1"
"REQ-0025","Engineering","Atlas People","Account Manager","CC-300 · Corporate","2026-02-02","6"
"REQ-0026","Customer Success","Northstar Talent","Data Analyst","CC-300 · Corporate","2026-02-18","4"
"REQ-0027","Operations","Bridge Recruitment","Data Analyst","CC-200 · Delivery","2026-06-12","3"
"REQ-0028","Customer Success","In-house","Operations Specialist","CC-100 · Product","2026-01-10","2"
"REQ-0029","Finance","In-house","Account Manager","CC-200 · Delivery","2026-02-26","4"
"REQ-0030","Operations","In-house","Data Analyst","CC-100 · Product","2026-02-12","6"
